RK,Symbol,Date,N1_Prev_Close,N1_Open_Price,N1_High_Price,N1_Low_Price,N1_Last_Price,N1_Close_Price,N1_Average_Price,N1_Total_Traded_Quantity,N1_Turnover,N1_No_of_Trades,N1_Deliverable_Qty,N1_Dly_Qt_to_Traded_Qty,N2_Prev_Close,N2_Open_Price,N2_High_Price,N2_Low_Price,N2_Last_Price,N2_Close_Price,N2_Average_Price,N2_Total_Traded_Quantity,N2_Turnover,N2_No_of_Trades,N2_Deliverable_Qty,N2_Dly_Qt_to_Traded_Qty,N3_Prev_Close,N3_Open_Price,N3_High_Price,N3_Low_Price,N3_Last_Price,N3_Close_Price,N3_Average_Price,N3_Total_Traded_Quantity,N3_Turnover,N3_No_of_Trades,N3_Deliverable_Qty,N3_Dly_Qt_to_Traded_Qty,N4_Prev_Close,N4_Open_Price,N4_High_Price,N4_Low_Price,N4_Last_Price,N4_Close_Price,N4_Average_Price,N4_Total_Traded_Quantity,N4_Turnover,N4_No_of_Trades,N4_Deliverable_Qty,N4_Dly_Qt_to_Traded_Qty,N5_Prev_Close,N5_Open_Price,N5_High_Price,N5_Low_Price,N5_Last_Price,N5_Close_Price,N5_Average_Price,N5_Total_Traded_Quantity,N5_Turnover,N5_No_of_Trades,N5_Deliverable_Qty,N5_Dly_Qt_to_Traded_Qty,Max_N1toN5,Min_N1toN5,Max_Next_N1toN5,Min_Next_N1toN5,Next_N5_Close_Price,drv_diff%_nextweeklymax_minus_n5close,drv_diff%_Min_N1toN5_Min_NextN1toN5,drv_diff%_Max_N1toN5_Max_NextN1toN5,target_5percent_weekly_from_N5close,target_10percent_weekly_from_N5close,drv_Date_as_Interger,drv_diff%_N1_Prev_Close_N1_Open,drv_diff%_N1_Prev_Close_N1_High,drv_diff%_N1_Prev_Close_N1_Low,drv_diff%_N1_Prev_Close_N1_Last,drv_diff%_N1_Prev_Close_N1_Close,drv_diff%_N1_Prev_Close_N1_Avg,drv_diff%_N1_N2_Total_Traded_Quantity,drv_diff%_N1_N2_Turnover,drv_diff%_N1_N2_No_of_Trades,drv_diff%_N2_Prev_Close_N2_Open,drv_diff%_N2_Prev_Close_N2_High,drv_diff%_N2_Prev_Close_N2_Low,drv_diff%_N2_Prev_Close_N2_Last,drv_diff%_N2_Prev_Close_N2_Close,drv_diff%_N2_Prev_Close_N2Avg,drv_diff%_N2_N3_Total_Traded_Quantity,drv_diff%_N2_N3_Turnover,drv_diff%_N2_N3_No_of_Trades,drv_diff%_N3_Prev_Close_N3_Open,drv_diff%_N3_Prev_Close_N3_High,drv_diff%_N3_Prev_Close_N3_Low,drv_diff%_N3_Prev_Close_N3_Last,drv_diff%_N3_Prev_Close_N3_Close,drv_diff%_N3_Prev_Close_N3_Avg,drv_diff%_N3_N4_Total_Traded_Quantity,drv_diff%_N3_N4_Turnover,drv_diff%_N3_N4_No_of_Trades,drv_diff%_N4_Prev_Close_N4_Open,drv_diff%_N4_Prev_Close_N4_High,drv_diff%_N4_Prev_Close_N4_Low,drv_diff%_N4_Prev_Close_N4_Last,drv_diff%_N4_Prev_Close_N4_Close,drv_diff%_N4_Prev_Close_N4_Avg,drv_diff%_N4_N5_Total_Traded_Quantity,drv_diff%_N4_N5_Turnover,drv_diff%_N4_N5_No_of_Trades,drv_diff%_N5_Prev_Close_N5_Open,drv_diff%_N5_Prev_Close_N5_High,drv_diff%_N5_Prev_Close_N5_Low,drv_diff%_N5_Prev_Close_N5_Last,drv_diff%_N5_Prev_Close_N5_Close,drv_diff%_N5_Prev_Close_N5_Avg,drv_diff%_N1_N2_Deliverable_Qty,drv_diff%_N2_N3_Deliverable_Qty,drv_diff%_N3_N4_Deliverable_Qty,drv_diff%_N4_N5_Deliverable_Qty,drv_diff%_N1_N2_Dly_Qt_to_Traded_Qty,drv_diff%_N2_N3_Dly_Qt_to_Traded_Qty,drv_diff%_N3_N4_Dly_Qt_to_Traded_Qty,drv_diff%_N4_N5_Dly_Qt_to_Traded_Qty,drv_diff%_N1_N2_Prev_Close,drv_diff%_N1_N3_Prev_Close,drv_diff%_N1_N4_Prev_Close,drv_diff%_N1_N5_Prev_Close,drv_diff%_N1_N2_Open_Price,drv_diff%_N1_N3_Open_Price,drv_diff%_N1_N4_Open_Price,drv_diff%_N1_N5_Open_Price,drv_diff%_N1_N2_High_Price,drv_diff%_N1_N3_High_Price,drv_diff%_N1_N4_High_Price,drv_diff%_N1_N5_High_Price,drv_diff%_N1_N2_Low_Price,drv_diff%_N1_N3_Low_Price,drv_diff%_N1_N4_Low_Price,drv_diff%_N1_N5_Low_Price,drv_diff%_N1_N2_Last_Price,drv_diff%_N1_N3_Last_Price,drv_diff%_N1_N4_Last_Price,drv_diff%_N1_N5_Last_Price,drv_diff%_N1_N2_Close_Price,drv_diff%_N1_N3_Close_Price,drv_diff%_N1_N4_Close_Price,drv_diff%_N1_N5_Close_Price,drv_diff%_N1_N2_Average_Price,drv_diff%_N1_N3_Average_Price,drv_diff%_N1_N4_Average_Price,drv_diff%_N1_N5_Average_Price,drv_diff%_N1_N2_Total_Traded_Quantity_1,drv_diff%_N1_N3_Total_Traded_Quantity,drv_diff%_N1_N4_Total_Traded_Quantity,drv_diff%_N1_N5_Total_Traded_Quantity,drv_diff%_N1_N2_Turnover_1,drv_diff%_N1_N3_Turnover,drv_diff%_N1_N4_Turnover,drv_diff%_N1_N5_Turnover,drv_diff%_N1_N2_No_of_Trades_1,drv_diff%_N1_N3_No_of_Trades,drv_diff%_N1_N4_No_of_Trades,drv_diff%_N1_N5_No_of_Trades,drv_diff%_N1_N2_Deliverable_Qty_1,drv_diff%_N1_N3_Deliverable_Qty,drv_diff%_N1_N4_Deliverable_Qty,drv_diff%_N1_N5_Deliverable_Qty,drv_diff%_N1_N2_Dly_Qt_to_Traded_Qty_1,drv_diff%_N1_N3_Dly_Qt_to_Traded_Qty,drv_diff%_N1_N4_Dly_Qt_to_Traded_Qty,drv_diff%_N1_N5_Dly_Qt_to_Traded_Qty,drv_diff%_N1_N2_Close_Price_1,drv_diff%_N2_N3_Close_Price,drv_diff%_N3_N4_Close_Price,drv_diff%_N4_N5_Close_Price,drv_Gain,drv_Loss,drv_Avg_Gain,drv_Avg_Loss,RS,RSI,SO
1,ACC,01-01-2020,1445.65,1452.5,1457,1438.2,1438.4,1440.1,1444.5,321092,463817701.1,12889,82053,25.55,1440.1,1442,1501.7,1442,1494.8,1493.05,1484.55,1503364,2231817329,42586,394367,26.23,1493.05,1493,1494,1467.1,1476.8,1476.3,1478.78,568262,840336844.9,18109,146128,25.71,1476.3,1462.1,1469.85,1430.55,1433,1435.55,1445.74,408807,591028185.3,13675,147029,35.97,1435.55,1450,1465.05,1436,1453.1,1456,1452.32,863805,1254520967,26295,223430,25.87,1501.7,1430.55,1534,1435,1513.9,0.05,0,-0.02,0,0,20200101,0,-0.01,0.01,0.01,0,0,-3.68,-3.81,-2.3,0,-0.04,0,-0.04,-0.04,-0.03,0.62,0.62,0.57,0,0,0.02,0.01,0.01,0.01,0.28,0.3,0.24,0.01,0,0.03,0.03,0.03,0.02,-1.11,-1.12,-0.92,-0.01,-0.02,0,-0.01,-0.01,-0.01,-3.81,0.63,-0.01,-0.52,-0.03,0.02,-0.4,0.28,0,-0.03,-0.02,0.01,0.01,-0.03,-0.01,0,-0.03,-0.03,-0.01,-0.01,0,-0.02,0.01,0,-0.04,-0.03,0,-0.01,-0.04,-0.03,0,-0.01,-0.03,-0.02,0,-0.01,-3.68,-0.77,-0.27,-1.69,-3.81,-0.81,-0.27,-1.7,-2.3,-0.4,-0.06,-1.04,-3.81,-0.78,-0.79,-1.72,-0.03,-0.01,-0.41,-0.01,0.0368,-0.0112,-0.0276,0.0142,0.0142,-0.0788,0.00284,-0.01576,0.18,15.25,35.77
2,ACC,08-01-2020,1456,1435,1477,1435,1460.15,1462.6,1463.35,981496,1436277067,33402,211092,21.51,1462.6,1478,1491.95,1470.9,1483.9,1486.15,1482.69,685751,1016756693,18750,188604,27.5,1486.15,1495,1525,1487.25,1510.8,1511.2,1512.29,1109054,1677206569,31226,274131,24.72,1511.2,1518.85,1530.7,1514.45,1524,1526.15,1524.44,531138,809689593.9,22276,141660,26.67,1526.15,1527,1534,1510.55,1517,1513.9,1522.76,850556,1295189631,16788,499067,58.68,1534,1435,1533.9,1487,1496.1,0.01,-0.04,0,0,0,20200108,0.01,-0.01,0.01,0,0,-0.01,0.3,0.29,0.44,-0.01,-0.02,-0.01,-0.01,-0.02,-0.01,-0.62,-0.65,-0.67,-0.01,-0.03,0,-0.02,-0.02,-0.02,0.52,0.52,0.29,-0.01,-0.01,0,-0.01,-0.01,-0.01,-0.6,-0.6,0.25,0,-0.01,0.01,0.01,0.01,0,0.11,-0.45,0.48,-2.52,-0.28,0.1,-0.08,-1.2,0,-0.02,-0.04,-0.05,-0.03,-0.04,-0.06,-0.06,-0.01,-0.03,-0.04,-0.04,-0.03,-0.04,-0.06,-0.05,-0.02,-0.03,-0.04,-0.04,-0.02,-0.03,-0.04,-0.04,-0.01,-0.03,-0.04,-0.04,0.3,-0.13,0.46,0.13,0.29,-0.17,0.44,0.1,0.44,0.07,0.33,0.5,0.11,-0.3,0.33,-1.36,-0.28,-0.15,-0.24,-1.73,0.0161,0.0169,0.0099,-0.008,0.0268,-0.028,0.00536,-0.0056,0.96,48.98,79.7
3,ACC,15-01-2020,1513.9,1511.9,1533.9,1488,1532.15,1515.75,1502.61,974275,1463957045,24576,400973,41.16,1515.75,1525.2,1529.65,1494,1504.8,1504.8,1510.3,650073,981803102.7,17341,130473,20.07,1504.8,1504.5,1522.6,1494.05,1509,1512.35,1513.62,409435,619727724,15479,73536,17.96,1512.35,1517.8,1517.8,1495,1497.55,1497.55,1504.36,223875,336788868.5,7080,22825,10.2,1497.55,1494.95,1509.4,1487,1500,1496.1,1499.41,359320,538769675.6,12520,49579,13.8,1533.9,1487,1579.6,1496.1,1561.35,0.05,-0.01,-0.03,1,0,20200115,0,-0.01,0.02,-0.01,0,0.01,0.33,0.33,0.29,-0.01,-0.01,0.01,0.01,0.01,0,0.37,0.37,0.11,0,-0.01,0.01,0,-0.01,-0.01,0.45,0.46,0.54,0,0,0.01,0.01,0.01,0.01,-0.61,-0.6,-0.77,0,-0.01,0.01,0,0,0,0.67,0.44,0.69,-1.17,0.51,0.11,0.43,-0.35,0,0.01,0,0.01,-0.01,0,0,0.01,0,0.01,0.01,0.02,0,0,0,0,0.02,0.02,0.02,0.02,0.01,0,0.01,0.01,-0.01,-0.01,0,0,0.33,0.58,0.77,0.63,0.33,0.58,0.77,0.63,0.29,0.37,0.71,0.49,0.67,0.82,0.94,0.88,0.51,0.56,0.75,0.66,-0.0072,0.005,-0.0098,-0.001,0.015,-0.0108,0.003,-0.00216,1.39,58.16,19.4
4,ACC,22-01-2020,1496.1,1507.95,1537,1502.1,1525,1524.4,1526.06,1645875,2511702978,53874,821909,49.94,1524.4,1526.25,1554.9,1525,1550,1548.35,1543.08,1100769,1698575182,41698,294647,26.77,1548.35,1551.75,1570.75,1542.2,1563.1,1565.9,1557.96,780502,1215991124,26688,139370,17.86,1565.9,1555,1579.6,1544.15,1549.95,1548.85,1563.47,535508,837251663.2,19264,108830,20.32,1548.85,1554.9,1576.55,1534,1559.95,1561.35,1563.45,696588,1089078284,29661,198253,28.46,1579.6,1496.1,1574,1417.55,1456.55,0.01,0.05,0,0,0,20200122,-0.01,-0.03,0,-0.02,-0.02,-0.02,0.33,0.32,0.23,0,-0.02,0,-0.02,-0.02,-0.01,0.29,0.28,0.36,0,-0.01,0,-0.01,-0.01,-0.01,0.31,0.31,0.28,0.01,-0.01,0.01,0.01,0.01,0,-0.3,-0.3,-0.54,0,-0.02,0.01,-0.01,-0.01,-0.01,0.64,0.53,0.22,-0.82,0.46,0.33,-0.14,-0.4,-0.02,-0.03,-0.05,-0.04,-0.01,-0.03,-0.03,-0.03,-0.01,-0.02,-0.03,-0.03,-0.02,-0.03,-0.03,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.03,-0.02,-0.02,-0.01,-0.02,-0.02,-0.02,0.33,0.53,0.67,0.58,0.32,0.52,0.67,0.57,0.23,0.5,0.64,0.45,0.64,0.83,0.87,0.76,0.46,0.64,0.59,0.43,0.0157,0.0113,-0.0109,0.0081,0.0194,-0.0309,0.00388,-0.00618,0.63,38.65,78.14
5,ACC,29-01-2020,1561.35,1564.25,1574,1545.2,1546.5,1551.7,1563.04,405658,634057720.1,14489,44306,10.92,1551.7,1552.75,1556.4,1525.35,1535.1,1531.5,1536.99,415388,638445632.5,14339,90881,21.88,1531.5,1536,1552,1500,1506,1504.6,1523.2,514199,783230219.1,19865,95924,18.66,1504.6,1506.4,1528,1417.55,1427.2,1426.6,1464.06,1039085,1521285653,28609,362027,34.84,1426.6,1434,1468.5,1431.15,1456.55,1456.55,1452.03,772603,1121844229,29069,293559,38,1574,1417.55,1513.5,1446,1451.35,0.04,-0.02,0.04,0,0,20200129,0,-0.01,0.01,0.01,0.01,0,-0.02,-0.01,0.01,0,0,0.02,0.01,0.01,0.01,-0.24,-0.23,-0.39,0,-0.01,0.02,0.02,0.02,0.01,-1.02,-0.94,-0.44,0,-0.02,0.06,0.05,0.05,0.03,0.26,0.26,-0.02,-0.01,-0.03,0,-0.02,-0.02,-0.02,-1.05,-0.06,-2.77,0.19,-1,0.15,-0.87,-0.09,0.01,0.02,0.04,0.09,0.01,0.02,0.04,0.08,0.01,0.01,0.03,0.07,0.01,0.03,0.08,0.07,0.01,0.03,0.08,0.06,0.01,0.03,0.08,0.06,0.02,0.03,0.06,0.07,-0.02,-0.27,-1.56,-0.9,-0.01,-0.24,-1.4,-0.77,0.01,-0.37,-0.97,-1.01,-1.05,-1.17,-7.17,-5.63,-1,-0.71,-2.19,-2.48,-0.013,-0.0176,-0.0518,0.021,0.031,-0.0694,0.0062,-0.01388,0.45,31.03,24.93
6,ACC,04-02-2020,1456.55,1463.8,1506,1463,1488.15,1487.25,1491.42,944148,1408118547,19558,418256,44.3,1487.25,1496.5,1496.5,1463.3,1470,1469.8,1475.1,1005046,1482546912,31321,539739,53.7,1469.8,1477.1,1493.7,1460.2,1490.1,1489.7,1475.26,820849,1210963761,23781,284631,34.68,1489.7,1491,1513.5,1488.1,1505,1502.7,1501.57,1060729,1592763054,30105,191904,18.09,1502.7,1498,1500,1446,1449.05,1451.35,1464.09,1635221,2394109366,52375,501743,30.68,1513.5,1446,NULL,NULL,NULL,0,0,0,0,0,20200204,0,-0.03,0,-0.02,-0.02,-0.02,-0.06,-0.05,-0.6,-0.01,-0.01,0.02,0.01,0.01,0.01,0.18,0.18,0.24,0,-0.02,0.01,-0.01,-0.01,0,-0.29,-0.32,-0.27,0,-0.02,0,-0.01,-0.01,-0.01,-0.54,-0.5,-0.74,0,0,0.04,0.04,0.03,0.03,-0.29,0.47,0.33,-1.61,-0.21,0.35,0.48,-0.7,-0.02,-0.01,-0.02,-0.03,-0.02,-0.01,-0.02,-0.02,0.01,0.01,0,0,0,0,-0.02,0.01,0.01,0,-0.01,0.03,0.01,0,-0.01,0.02,0.01,0.01,-0.01,0.02,-0.06,0.13,-0.12,-0.73,-0.05,0.14,-0.13,-0.7,-0.6,-0.22,-0.54,-1.68,-0.29,0.32,0.54,-0.2,-0.21,0.22,0.59,0.31,-0.0117,0.0135,0.0087,-0.0342,0.0322,-0.0342,0.00644,-0.00684,0.94,48.45,7.93
1,ADANIPORTS,01-01-2020,366,368,379.25,366,377.45,377.65,375.71,11377167,4274459183,89107,1155555,10.16,377.65,377.95,384.7,376.5,382.5,383.15,381.66,5919760,2259337416,54749,1072204,18.11,383.15,382.7,384.35,379.2,382,382.5,382.01,3684824,1407635549,41829,1082913,29.39,382.5,388,388,374.75,380,380.2,381.73,12482680,4765071281,97444,2245696,17.99,380.2,384.05,389.75,382.4,384.05,384.8,385.49,8091465,3119177905,58470,3028819,37.43,389.75,366,394.3,378.25,389.2,0.02,-0.03,-0.01,0,0,20200101,-0.01,-0.04,0,-0.03,-0.03,-0.03,0.48,0.47,0.39,0,-0.02,0,-0.01,-0.01,-0.01,0.38,0.38,0.24,0,0,0.01,0,0,0,-2.39,-2.39,-1.33,-0.01,-0.01,0.02,0.01,0.01,0,0.35,0.35,0.4,-0.01,-0.03,-0.01,-0.01,-0.01,-0.01,0.07,-0.01,-1.07,-0.35,-0.78,-0.62,0.39,-1.08,-0.03,-0.05,-0.05,-0.04,-0.03,-0.04,-0.05,-0.04,-0.01,-0.01,-0.02,-0.03,-0.03,-0.04,-0.02,-0.04,-0.01,-0.01,-0.01,-0.02,-0.01,-0.01,-0.01,-0.02,-0.02,-0.02,-0.02,-0.03,0.48,0.68,-0.1,0.29,0.47,0.67,-0.11,0.27,0.39,0.53,-0.09,0.34,0.07,0.06,-0.94,-1.62,-0.78,-1.89,-0.77,-2.68,0.0146,-0.0017,-0.006,0.0121,0.0121,-0.0177,0.00242,-0.00354,0.68,40.48,79.16
2,ADANIPORTS,08-01-2020,384.8,379,387.6,378.25,385.4,385.65,383.67,4620991,1772921647,37166,1442143,31.21,385.65,389.15,394,386.05,391.8,391.8,391.3,4186783,1638283562,45704,1082332,25.85,391.8,391.8,394.3,390,391.3,392.05,392.41,2405154,943808034.7,26327,788775,32.8,392.05,391.9,393.9,389.3,390.05,390.35,391.24,1516112,593167829.5,19174,497886,32.84,390.35,391,392.6,386,389.25,389.2,389.54,1963128,764722042.7,33582,661362,33.69,394.3,378.25,394.6,375.3,379.95,0.01,0.01,0,0,0,20200108,0.02,-0.01,0.02,0,0,0,0.09,0.08,-0.23,-0.01,-0.02,0,-0.02,-0.02,-0.01,0.43,0.42,0.42,0,-0.01,0,0,0,0,0.37,0.37,0.27,0,0,0.01,0.01,0,0,-0.29,-0.29,-0.75,0,-0.01,0.01,0,0,0,0.25,0.27,0.37,-0.33,0.17,-0.27,0,-0.03,0,-0.02,-0.02,-0.01,-0.03,-0.03,-0.03,-0.03,-0.02,-0.02,-0.02,-0.01,-0.02,-0.03,-0.03,-0.02,-0.02,-0.02,-0.01,-0.01,-0.02,-0.02,-0.01,-0.01,-0.02,-0.02,-0.02,-0.02,0.09,0.48,0.67,0.58,0.08,0.47,0.67,0.57,-0.23,0.29,0.48,0.1,0.25,0.45,0.65,0.54,0.17,-0.05,-0.05,-0.08,0.0159,0.0006,-0.0043,-0.0029,0.0006,-0.0272,0.00012,-0.00544,0.02,1.96,68.22
3,ADANIPORTS,15-01-2020,389.2,389.3,391.4,386,390.55,390.8,388.83,1536571,597471006.3,24601,447618,29.13,390.8,392,394.6,389.8,391,390.95,392.07,1340762,525674466.9,16681,294794,21.99,390.95,390.9,392.4,386,386,387.6,389.03,1644832,639890508.6,25587,612360,37.23,387.6,387.65,389.2,378.8,379.85,380.05,382.18,1760945,672989254.2,27756,470153,26.7,380.05,378.8,382,375.3,379.7,379.95,378.66,2005178,759275668.4,28978,843545,42.07,394.6,375.3,387.4,370.2,372.95,0.02,0.01,0.02,0,0,20200115,0,-0.01,0.01,0,0,0,0.13,0.12,0.32,0,-0.01,0,0,0,0,-0.23,-0.22,-0.53,0,0,0.01,0.01,0.01,0,-0.07,-0.05,-0.08,0,0,0.02,0.02,0.02,0.01,-0.14,-0.13,-0.04,0,-0.01,0.01,0,0,0,0.34,-1.08,0.23,-0.79,0.25,-0.69,0.28,-0.58,0,0,0,0.02,-0.01,0,0,0.03,-0.01,0,0.01,0.02,-0.01,0,0.02,0.03,0,0.01,0.03,0.03,0,0.01,0.03,0.03,-0.01,0,0.02,0.03,0.13,-0.07,-0.15,-0.3,0.12,-0.07,-0.13,-0.27,0.32,-0.04,-0.13,-0.18,0.34,-0.37,-0.05,-0.88,0.25,-0.28,0.08,-0.44,0.0004,-0.0086,-0.0195,-0.0003,0,-0.0284,0,-0.00568,0,0,24.09
4,ADANIPORTS,22-01-2020,379.95,379.95,385,379,384,383.6,382.9,1817459,695897835.3,24026,566400,31.16,383.6,384.45,386.75,380.75,385,385.85,384.4,1202104,462086830.4,22112,360665,30,385.85,383,387.4,380.3,384.75,384.75,384.18,1572385,604083932.3,23068,345643,21.98,384.75,383.7,386.25,379.8,380.7,381.25,382.77,1076027,411875743.9,21136,259566,24.12,381.25,380.7,381.5,370.2,373.75,372.95,375.37,2220618,833546232.5,42216,841792,37.91,387.4,370.2,387.75,355.5,367.35,0.04,0.04,0,0,0,20200122,0,-0.01,0,-0.01,-0.01,-0.01,0.34,0.34,0.08,0,-0.01,0.01,0,-0.01,0,-0.31,-0.31,-0.04,0.01,0,0.01,0,0,0,0.32,0.32,0.08,0,0,0.01,0.01,0.01,0.01,-1.06,-1.02,-1,0,0,0.03,0.02,0.02,0.02,0.36,0.04,0.25,-2.24,0.04,0.27,-0.1,-0.57,-0.01,-0.02,-0.01,0,-0.01,-0.01,-0.01,0,0,-0.01,0,0.01,0,0,0,0.02,0,0,0.01,0.03,-0.01,0,0.01,0.03,0,0,0,0.02,0.34,0.13,0.41,-0.22,0.34,0.13,0.41,-0.2,0.08,0.04,0.12,-0.76,0.36,0.39,0.54,-0.49,0.04,0.29,0.23,-0.22,0.0059,-0.0029,-0.0091,-0.0218,0,-0.0438,0,-0.00876,0,0,15.99
5,ADANIPORTS,29-01-2020,372.95,377.5,387.75,373.75,382.5,383.35,383.81,3588224,1377204827,46533,454883,12.68,383.35,381,383.7,376.85,378,378,379.78,1526892,579885594.7,21621,385344,25.24,378,380.05,381.55,368.25,369.55,369.4,371.94,2912256,1083185828,41584,1073862,36.87,369.4,369.8,371.4,360.65,362.35,362.3,365.61,1839534,672560438.3,20577,237798,12.93,362.3,364,370,355.5,369,367.35,364.92,2857926,1042928501,28177,773965,27.08,387.75,355.5,376,361.1,368.25,0.02,-0.02,0.03,0,0,20200129,-0.01,-0.04,0,-0.03,-0.03,-0.03,0.57,0.58,0.54,0.01,0,0.02,0.01,0.01,0.01,-0.91,-0.87,-0.92,-0.01,-0.01,0.03,0.02,0.02,0.02,0.37,0.38,0.51,0,-0.01,0.02,0.02,0.02,0.01,-0.55,-0.55,-0.37,0,-0.02,0.02,-0.02,-0.01,-0.01,0.15,-1.79,0.78,-2.25,-0.99,-0.46,0.65,-1.09,-0.03,-0.01,0.01,0.03,-0.01,-0.01,0.02,0.04,0.01,0.02,0.04,0.05,-0.01,0.01,0.04,0.05,0.01,0.03,0.05,0.04,0.01,0.04,0.05,0.04,0.01,0.03,0.05,0.05,0.57,0.19,0.49,0.2,0.58,0.21,0.51,0.24,0.54,0.11,0.56,0.39,0.15,-1.36,0.48,-0.7,-0.99,-1.91,-0.02,-1.14,-0.014,-0.0228,-0.0192,0.0139,0.0239,-0.042,0.00478,-0.0084,0.57,36.31,36.74
6,ADANIPORTS,04-02-2020,367.35,370.1,376,366.35,368.35,372.5,372.34,3061868,1140064198,37727,767128,25.05,372.5,372,372.5,361.1,368,366.6,365.67,3441871,1258601306,36629,769088,22.35,366.6,370,373.2,367.65,370.1,370.2,370.77,4172547,1547063875,27386,2556457,61.27,370.2,370.2,373.7,367.2,369.55,369.55,369.9,2197903,813002298.5,21700,1058348,48.15,369.55,370.05,373.45,366.15,369,368.25,368.86,1537598,567163672.9,19031,509301,33.12,376,361.1,NULL,NULL,NULL,0,0,0,0,0,20200204,-0.01,-0.02,0,0,-0.01,-0.01,-0.12,-0.1,0.03,0,0,0.03,0.01,0.02,0.02,-0.21,-0.23,0.25,-0.01,-0.02,0,-0.01,-0.01,-0.01,0.47,0.47,0.21,0,-0.01,0.01,0,0,0,0.3,0.3,0.12,0,-0.01,0.01,0,0,0,0,-2.32,0.59,0.52,0.11,-1.74,0.21,0.31,-0.01,0,-0.01,-0.01,-0.01,0,0,0,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0.02,0.01,0.01,0.01,0.02,0,0.01,0.01,-0.12,-0.36,0.28,0.5,-0.1,-0.36,0.29,0.5,0.03,0.27,0.42,0.5,0,-2.33,-0.38,0.34,0.11,-1.45,-0.92,-0.32,-0.0158,0.0098,-0.0018,-0.0035,0.0298,-0.0053,0.00596,-0.00106,5.62,84.89,47.99
1,AMBUJACEM,01-01-2020,196.25,197.2,197.75,195.8,196.95,197,196.95,1459556,287455479.9,9803,573653,39.3,197,197.35,206.4,197.2,205.2,205.35,204.5,8633553,1765524128,52407,3116407,36.1,205.35,204.95,205.8,202.25,203.7,203.4,203.78,2007973,409178019.1,14470,823023,40.99,203.4,202.85,202.85,196.35,196.9,196.9,198.48,2119702,420710950.6,15192,749538,35.36,196.9,198.1,202.55,196.7,199.1,199,199.1,3557312,708267158.9,24608,1432101,40.26,206.4,195.8,214.8,195.65,209.3,0.07,0,-0.04,1,0,20200101,0,-0.01,0,0,0,0,-4.92,-5.14,-4.35,0,-0.05,0,-0.04,-0.04,-0.04,0.77,0.77,0.72,0,0,0.02,0.01,0.01,0.01,-0.06,-0.03,-0.05,0,0,0.03,0.03,0.03,0.02,-0.68,-0.68,-0.62,-0.01,-0.03,0,-0.01,-0.01,-0.01,-4.43,0.74,0.09,-0.91,0.08,-0.14,0.14,-0.14,0,-0.05,-0.04,0,0,-0.04,-0.03,0,-0.04,-0.04,-0.03,-0.02,-0.01,-0.03,0,0,-0.04,-0.03,0,-0.01,-0.04,-0.03,0,-0.01,-0.04,-0.03,-0.01,-0.01,-4.92,-0.38,-0.45,-1.44,-5.14,-0.42,-0.46,-1.46,-4.35,-0.48,-0.55,-1.51,-4.43,-0.43,-0.31,-1.5,0.08,-0.04,0.1,-0.02,0.0424,-0.0095,-0.032,0.0107,0.0107,-0.0815,0.00214,-0.0163,0.13,11.5,30.19
2,AMBUJACEM,08-01-2020,199,196,204.6,195.65,201.7,201.65,201.88,4943334,997937358.4,33909,861913,17.44,201.65,203.9,209.3,203.85,207.9,207.95,206.87,5537880,1145622110,58179,2980169,53.81,207.95,208.55,214,206.8,212.1,211.75,211.46,5362463,1133956895,44689,2102309,39.2,211.75,212.6,214.8,210.65,211.4,211.5,212.12,2628821,557627340.7,20328,749813,28.52,211.5,212.2,212.45,208.8,209.3,209.3,210.67,3725008,784757540.8,26631,2149770,57.71,214.8,195.65,214.4,205.7,207.6,0.02,-0.05,0,0,0,20200108,0.02,-0.03,0.02,-0.01,-0.01,-0.01,-0.12,-0.15,-0.72,-0.01,-0.04,-0.01,-0.03,-0.03,-0.03,0.03,0.01,0.23,0,-0.03,0.01,-0.02,-0.02,-0.02,0.51,0.51,0.55,0,-0.01,0.01,0,0,0,-0.42,-0.41,-0.31,0,0,0.01,0.01,0.01,0,-2.46,0.29,0.64,-1.87,-2.09,0.27,0.27,-1.02,-0.01,-0.04,-0.06,-0.06,-0.04,-0.06,-0.08,-0.08,-0.02,-0.05,-0.05,-0.04,-0.04,-0.06,-0.08,-0.07,-0.03,-0.05,-0.05,-0.04,-0.03,-0.05,-0.05,-0.04,-0.02,-0.05,-0.05,-0.04,-0.12,-0.08,0.47,0.25,-0.15,-0.14,0.44,0.21,-0.72,-0.32,0.4,0.21,-2.46,-1.44,0.13,-1.49,-2.09,-1.25,-0.64,-2.31,0.0312,0.0183,-0.0012,-0.0104,0.0183,-0.0416,0.00366,-0.00832,0.44,30.56,71.28
